ID,Name,Concepticon_ID,Concepticon_Gloss
1_theworld,the world,965,WORLD
2_theland,the land,626,LAND
3_thesoil,the soil,1228,EARTH (SOIL)
4_thedust,the dust,2,DUST
5_themud,the mud,640,MUD
6_thesand,the sand,671,SAND
7_themountainorhill,the mountain or hill,2118,MOUNTAIN OR HILL
8_theclifforprecipice,the cliff or precipice,618,PRECIPICE
9_theplain,the plain,652,PLAIN
10_thevalley,the valley,921,VALLEY
11_theisland,the island,622,ISLAND
12_themainland,the mainland,166,MAINLAND
13_theshore,the shore,113,SHORE
14_thecave,the cave,1155,CAVE
15_thewater,the water,948,WATER
16_thesea,the sea,1474,SEA
17_calm,calm,258,CALM
18_rough2,rough(2),259,ROUGH (OF SEA)
19_thefoam,the foam,1768,FOAM
20_theocean,the ocean,645,OCEAN
21_thelake,the lake,624,LAKE
22_thebay,the bay,663,BAY
23_thelagoon,the lagoon,623,LAGOON
24_thereef,the reef,660,REEF
25_thecape,the cape,1662,CAPE
26_thewave,the wave,978,WAVE
27_thetide,the tide,891,TIDE
28_thelowtide,the low tide,1026,LOW TIDE
29_thehightide,the high tide,613,HIGH TIDE
30_theriverorstream,the river or stream,3311,FLOWING BODY OF WATER
31_thewhirlpool,the whirlpool,1982,WHIRLPOOL
32_thespringorwell,the spring or well,2144,SPRING OR WELL
33_theswamp,the swamp,1145,SWAMP
34_thewaterfall,the waterfall,943,WATERFALL
35_thewoodsorforest,the woods or forest,420,FOREST
36_thewood,the wood,1803,WOOD
37_thestoneorrock,the stone or rock,2125,STONE OR ROCK
38_theearthquake,the earthquake,6,EARTHQUAKE
39_thesky,the sky,1732,SKY
40_thesun,the sun,1343,SUN
41_themoon,the moon,1313,MOON
42_thestar,the star,1430,STAR
43_thelightning,the lightning,1654,LIGHTNING
44_thethunder,the thunder,1150,THUNDER
45_theboltoflightning,the bolt of lightning,2007,BOLT (OF LIGHTNING)
46_thestorm,the storm,858,STORM
47_therainbow,the rainbow,1733,RAINBOW
48_thelight,the light,630,LIGHT (RADIATION)
49_thedarkness,the darkness,11,DARKNESS
50_theshadeorshadow,the shade or shadow,1388,SHADE
51_thedew,the dew,1977,DEW
52_theair,the air,27,AIR
53_thewind,the wind,960,WIND
54_thecloud,the cloud,1489,CLOUD
55_thefog,the fog,249,FOG
56_therain,the rain,658,RAIN (PRECIPITATION)
57_thesnow,the snow,784,SNOW
58_theice,the ice,617,ICE
59_theweather,the weather,952,WEATHER
60_thefire,the fire,221,FIRE
61_theflame,the flame,889,FLAME
62_thesmoke,the smoke,778,SMOKE (EXHAUST)
63_theash,the ash,646,ASH
64_theembers,the embers,67,EMBERS
65_toburn1,to burn(1),141,BURN (SOMETHING)
66_toburn2,to burn(2),1428,BURNING
67_tolight,to light,737,LIGHT (IGNITE)
68_toextinguish,to extinguish,127,EXTINGUISH
69_thematch,the match,1133,MATCH
70_thefirewood,the firewood,10,FIREWOOD
71_thecharcoal,the charcoal,1188,CHARCOAL
72_theperson,the person,683,PERSON
73_theman,the man,1554,MAN
74_thewoman,the woman,962,WOMAN
75_male1,male(1),2261,MALE (OF PERSON)
76_female1,female(1),2260,FEMALE (OF PERSON)
77_theboy,the boy,1366,BOY
78_theyoungman,the young man,76,YOUNG MAN
79_thegirl,the girl,1646,GIRL
80_theyoungwoman,the young woman,77,YOUNG WOMAN
81_thechild1,the child(1),1304,CHILD (YOUNG HUMAN)
82_thebaby,the baby,1289,BABY
83_thehusband,the husband,1200,HUSBAND
84_thewife,the wife,1199,WIFE
85_tomarry,to marry,203,MARRY
86_thewedding,the wedding,1259,WEDDING
87_thedivorce,the divorce,1134,DIVORCE
88_thefather,the father,1217,FATHER
89_themother,the mother,1216,MOTHER
90_theparents,the parents,505,PARENTS
91_themarriedman,the married man,424,MARRIED MAN
92_themarriedwoman,the married woman,426,MARRIED WOMAN
93_theson,the son,1620,SON
94_thedaughter,the daughter,1357,DAUGHTER
95_theporpoiseordolphin,the porpoise or dolphin,1479,DOLPHIN
96_thechild2,the child(2),1801,CHILD (DESCENDANT)
97_thebrother,the brother,1262,BROTHER
98_theolderbrother,the older brother,1759,OLDER BROTHER
99_theyoungerbrother,the younger brother,1760,YOUNGER BROTHER
100_thesister,the sister,1263,SISTER
101_theoldersister,the older sister,1758,OLDER SISTER
102_theyoungersister,the younger sister,1761,YOUNGER SISTER
103_thesibling,the sibling,1640,SIBLING
104_thetwins,the twins,1005,TWINS
105_thegrandfather,the grandfather,1383,GRANDFATHER
106_theoldman,the old man,406,OLD MAN
107_thegrandmother,the grandmother,1496,GRANDMOTHER
108_theoldwoman,the old woman,907,OLD WOMAN
109_thegrandson,the grandson,1618,GRANDSON
110_thegranddaughter,the granddaughter,1619,GRANDDAUGHTER
111_theuncle,the uncle,1327,UNCLE
112_themothersbrother,the mother's brother,2692,MATERNAL UNCLE (MOTHER'S BROTHER)
113_thefathersbrother,the father's brother,1985,PATERNAL UNCLE (FATHER'S BROTHER)
114_theaunt,the aunt,1272,AUNT
115_themotherssister,the mother's sister,2693,MATERNAL AUNT (MOTHER'S SISTER)
116_thefatherssister,the father's sister,2691,PATERNAL AUNT (FATHER'S SISTER)
117_thenephew,the nephew,1063,NEPHEW
118_theniece,the niece,1642,NIECE
119_thecousin,the cousin,1643,COUSIN
120_theancestors,the ancestors,1669,ANCESTORS
121_thedescendants,the descendants,490,DESCENDANTS
122_thefatherinlawofaman,the father-in-law (of a man),2255,FATHER-IN-LAW (OF MAN)
123_thefatherinlawofawoman,the father-in-law (of a woman),2254,FATHER-IN-LAW (OF WOMAN)
124_themotherinlawofaman,the mother-in-law (of a man),2257,MOTHER-IN-LAW (OF MAN)
125_themotherinlawofawoman,the mother-in-law (of a woman),2256,MOTHER-IN-LAW (OF WOMAN)
126_thesoninlawofaman,the son-in-law (of a man),2267,SON-IN-LAW (OF MAN)
127_thesoninlawofawoman,the son-in-law (of a woman),2266,SON-IN-LAW (OF WOMAN)
128_thedaughterinlawofaman,the daughter-in-law (of a man),2265,DAUGHTER-IN-LAW (OF MAN)
129_thedaughterinlawofawoman,the daughter-in-law (of a woman),2264,DAUGHTER-IN-LAW (OF WOMAN)
130_thestepfather,the stepfather,237,STEPFATHER
131_thestepmother,the stepmother,236,STEPMOTHER
132_thestepson,the stepson,1059,STEPSON
133_thestepdaughter,the stepdaughter,1058,STEPDAUGHTER
134_theorphan,the orphan,1149,ORPHAN
135_thewidow,the widow,1756,WIDOW
136_thewidower,the widower,1981,WIDOWER
137_therelatives,the relatives,1644,RELATIVES
138_thefamily,the family,194,FAMILY
139_i,I,1209,I
140_yousingular,you (singular),1215,THOU
141_hesheit,he/she/it,262,HE OR SHE OR IT
142_we,we,1212,WE
143_weinclusive,we (inclusive),1131,WE (INCLUSIVE)
144_weexclusive,we (exclusive),1130,WE (EXCLUSIVE)
145_youplural,you (plural),1213,YOU
146_they,they,817,THEY
147_theanimal,the animal,619,ANIMAL
148_male2,male(2),2263,MALE (OF ANIMAL)
149_female2,female(2),2262,FEMALE (OF ANIMAL)
150_thelivestock,the livestock,631,LIVESTOCK
151_thepasture,the pasture,649,PASTURE
152_theherdsman,the herdsman,263,HERDSMAN
153_thestableorstall,the stable or stall,851,STABLE
154_thecattle,the cattle,1153,CATTLE
155_thebull,the bull,1008,BULL
156_theox,the ox,1169,OX
157_thecow,the cow,1007,COW
158_thecalf,the calf,1989,CALF
159_thesheep,the sheep,1331,SHEEP
160_theram,the ram,1344,RAM
161_theewe,the ewe,1345,EWE
162_thelamb,the lamb,820,LAMB
163_theboar,the boar,1348,BOAR (MALE PIG)
164_thesow,the sow,1351,SOW (FEMALE PIG)
165_thepig,the pig,1337,PIG
166_thegoat,the goat,1502,GOAT
167_thehegoat,the he-goat,2475,MALE GOAT
168_thekid,the kid,1972,KID
169_thehorse,the horse,615,HORSE
170_thestallion,the stallion,936,STALLION
171_themare,the mare,938,MARE
172_thefoalorcolt,the foal or colt,1647,FOAL
173_thedonkey,the donkey,1862,DONKEY
174_themule,the mule,890,MULE
175_thefowl,the fowl,265,FOWL
176_thecockrooster,the cock/rooster,1511,ROOSTER
177_thehen,the hen,1514,HEN
178_thechicken,the chicken,1318,CHICKEN
179_thegoose,the goose,1187,GOOSE
180_theduck,the duck,1360,DUCK
181_thenest,the nest,539,NEST
182_thebird,the bird,937,BIRD
183_theseagull,the seagull,950,SEAGULL
184_theheron,the heron,758,HERON
185_theeagle,the eagle,1905,EAGLE
186_thehawk,the hawk,307,HAWK
187_thevulture,the vulture,1185,VULTURE
188_thebat,the bat,1793,BAT
189_theparrot,the parrot,882,PARROT
190_thecrow,the crow,913,CROW
191_thedove,the dove,1853,DOVE
192_theowl,the owl,735,OWL
193_thedog,the dog,2009,DOG
194_therabbit,the rabbit,1136,RABBIT
195_thecat,the cat,1208,CAT
196_theopossum,the opossum,309,OPOSSUM
197_themouseorrat,the mouse or rat,2139,MUROID (MOUSE OR RAT)
198_thefish,the fish,227,FISH
199_thefin,the fin,213,FIN
200_thescale,the scale,266,SCALE
201_thegill,the gill,1916,GILL
202_theshell,the shell,598,SHELL
203_theshark,the shark,1110,SHARK
204_thewhale,the whale,957,WHALE
205_thestingray,the stingray,1910,STINGRAY
206_thefreshwatereel,the freshwater eel,1013,FRESHWATER EEL
207_thewolf,the wolf,522,WOLF
208_thelion,the lion,1386,LION
209_thebear,the bear,1820,BEAR
210_thefox,the fox,1312,FOX
211_thedeer,the deer,1936,DEER
212_themonkey,the monkey,1350,MONKEY
213_theelephant,the elephant,1290,ELEPHANT
214_thecamel,the camel,1871,CAMEL
215_theinsect,the insect,620,INSECT
216_theheadlouse,the head louse,310,HEAD LOUSE
217_thenit,the nit,267,NIT
218_theflea,the flea,232,FLEA
219_thecentipede,the centipede,1974,CENTIPEDE
220_thescorpion,the scorpion,1538,SCORPION
221_thecockroach,the cockroach,1575,COCKROACH
222_theant,the ant,587,ANT
223_thespider,the spider,843,SPIDER
224_thespiderweb,the spider web,1065,SPIDER WEB
225_thebee,the bee,665,BEE
226_thebeeswax,the beeswax,1931,BEESWAX
227_thebeehive,the beehive,88,BEEHIVE
228_thewasp,the wasp,1517,WASP
229_thefly,the fly,1504,FLY (INSECT)
230_thesandflyormidgeorgnat,the sandfly or midge or gnat,95,SANDFLY
231_themosquito,the mosquito,1509,MOSQUITO
232_theworm,the worm,1219,WORM
233_thesnake,the snake,730,SNAKE
234_thefirefly,the firefly,206,FIREFLY
235_thebutterfly,the butterfly,1791,BUTTERFLY
236_thegrasshopper,the grasshopper,607,GRASSHOPPER
237_thesnail,the snail,1543,SNAIL
238_thefrog,the frog,503,FROG
239_thelizard,the lizard,632,LIZARD
240_thecrocodileoralligator,the crocodile or alligator,1857,CROCODILE
241_theturtle,the turtle,112,TURTLE
242_thebody,the body,1480,BODY
243_theskinorhide,the skin or hide,763,SKIN
244_theflesh,the flesh,2259,FLESH
245_thehair,the hair,2648,HAIR (HEAD)
246_thebeard,the beard,678,BEARD
247_thebodyhair,the body hair,189,HAIR (BODY)
248_thepubichair,the pubic hair,36,PUBIC HAIR
249_thedandruff,the dandruff,576,DANDRUFF
250_theblood,the blood,946,BLOOD
251_theveinorartery,the vein or artery,525,BLOOD VESSEL
252_thebone,the bone,1394,BONE
253_therib,the rib,801,RIB
254_thehorn,the horn,1393,HORN (ANATOMY)
255_thetail,the tail,1220,TAIL
256_theback,the back,1291,BACK
257_thespine,the spine,805,SPINE
258_thehead,the head,1256,HEAD
259_thetemples,the temples,1604,TEMPLES
260_theskull,the skull,1605,SKULL
261_thebrain,the brain,1583,BRAIN
262_theface,the face,1560,FACE
263_theforehead,the forehead,123,FOREHEAD
264_thejaw,the jaw,798,JAW
265_thecheek,the cheek,1730,CHEEK
266_thechin,the chin,1510,CHIN
267_theeye,the eye,1248,EYE
268_theeyebrow,the eyebrow,1173,EYEBROW
269_theeyelid,the eyelid,17,EYELID
270_theeyelash,the eyelash,1540,EYELASH
271_toblink,to blink,1655,BLINK
272_theear,the ear,1247,EAR
273_theearlobe,the earlobe,18,EARLOBE
274_theearwax,the earwax,32,EARWAX
275_thenose,the nose,1221,NOSE
276_thenostril,the nostril,1178,NOSTRIL
277_thenasalmucus,the nasal mucus,208,NASAL MUCUS (SNOT)
278_themouth,the mouth,674,MOUTH
279_thebeak,the beak,73,BEAK
280_thelip,the lip,478,LIP
281_thetongue,the tongue,1205,TONGUE
282_thetooth,the tooth,1380,TOOTH
283_thegums,the gums,139,GUMS
284_themolartooth,the molar tooth,1049,MOLAR TOOTH
285_theneck,the neck,1333,NECK
286_thenapeoftheneck,the nape of the neck,1347,NAPE (OF NECK)
287_thethroat,the throat,1346,THROAT
288_theshoulder,the shoulder,1482,SHOULDER
289_theshoulderblade,the shoulderblade,172,SHOULDERBLADE
290_thecollarbone,the collarbone,1994,COLLARBONE
291_thearm,the arm,1673,ARM
292_thearmpit,the armpit,1886,ARMPIT
293_theelbow,the elbow,981,ELBOW
294_thewrist,the wrist,799,WRIST
295_thehand,the hand,1277,HAND
296_thepalmofthehand,the palm of the hand,1183,PALM OF HAND
297_thefinger,the finger,1303,FINGER
298_thethumb,the thumb,1781,THUMB
299_thefingernail,the fingernail,1258,FINGERNAIL
300_theclaw,the claw,72,CLAW
301_theleg,the leg,1297,LEG
302_thethigh,the thigh,800,THIGH
303_thecalfoftheleg,the calf of the leg,498,CALF OF LEG
304_theknee,the knee,1371,KNEE
305_thefoot,the foot,1301,FOOT
306_theankle,the ankle,803,ANKLE
307_theheel,the heel,980,HEEL
308_thefootprint,the footprint,318,FOOTPRINT
309_thetoe,the toe,1389,TOE
310_thewing,the wing,1257,WING
311_thefeather,the feather,1201,FEATHER
312_thechest,the chest,1592,CHEST
313_thebreast,the breast,1402,BREAST
314_thenippleorteat,the nipple or teat,796,NIPPLE
315_theudder,the udder,154,UDDER
316_thenavel,the navel,1838,NAVEL
317_theheart,the heart,1223,HEART
318_thelung,the lung,688,LUNG
319_theliver,the liver,1224,LIVER
320_thekidney,the kidney,489,KIDNEY
321_thespleen,the spleen,1744,SPLEEN
322_thestomach,the stomach,819,STOMACH
323_theintestinesorguts,the intestines or guts,1991,INTESTINES
324_thewaist,the waist,1681,WAIST
325_thehip,the hip,1745,HIP
326_thebuttocks,the buttocks,834,BUTTOCKS
327_thewomb,the womb,804,WOMB
328_thetesticles,the testicles,797,TESTICLES
329_thepenis,the penis,1222,PENIS
330_tobreathe,to breathe,1407,BREATHE
331_toyawn,to yawn,1028,YAWN
332_tohiccough,to hiccough,162,HICCOUGH
333_tocough,to cough,879,COUGH
334_tosneeze,to sneeze,1621,SNEEZE
335_toperspire,to perspire,126,SWEAT (PERSPIRE)
336_tospit,to spit,1440,SPIT
337_tovomit,to vomit,1278,VOMIT
338_tobite,to bite,1403,BITE
339_tolick,to lick,319,LICK
340_todribble,to dribble,268,DRIBBLE
341_tosleep,to sleep,1585,SLEEP
342_tosnore,to snore,1983,SNORE
343_todream,to dream,1920,DREAM (SOMETHING)
344_towakeup,to wake up,1602,WAKE UP
345_tofart,to fart,1159,FART
346_topiss,to piss,592,PISS
347_toshit,to shit,676,SHIT (DEFECATE)
348_tohavesex,to have sex,1785,HAVE SEX
349_toshiver,to shiver,52,SHIVER
350_tobathe,to bathe,138,BATHE
351_tobeget,to beget,1152,BEGET
352_tobeborn,to be born,1090,BE BORN
353_pregnant,pregnant,1123,PREGNANT
354_toconceive,to conceive,1087,CONCEIVE
355_tobealive,to be alive,1422,BE ALIVE
356_todie,to die,1494,DIE
357_todrown,to drown,1904,DROWN
358_tokill,to kill,1417,KILL
359_thecorpse,the corpse,767,CORPSE
360_tobury,to bury,1719,BURY
361_thegrave,the grave,1773,GRAVE
362_strong,strong,785,STRONG
363_weak,weak,1601,WEAK
364_healthy,healthy,1364,HEALTHY
365_sickill,sick/ill,1847,SICK
366_thefever,the fever,1534,FEVER
367_thegoitregoiter,the goitre/goiter,1957,GOITER
368_thecold,the cold,102,COMMON COLD (DISEASE)
369_thewoundorsore,the wound or sore,1109,WOUND
370_thebruise,the bruise,1148,BRUISE
371_theswelling,the swelling,1903,SWELLING
372_theitch,the itch,148,ITCH
373_theblister,the blister,1584,BLISTER
374_theboil,the boil,793,BOIL (OF SKIN)
375_thepus,the pus,1808,PUS
376_thescar,the scar,497,SCAR
377_tocure,to cure,499,CURE
378_thephysician,the physician,597,PHYSICIAN
379_themedicine,the medicine,1372,MEDICINE
380_thepoison,the poison,655,POISON
381_tired,tired,1757,TIRED
382_torest,to rest,168,REST
383_lazy,lazy,1564,LAZY
384_bald,bald,1125,BALD
385_lame,lame,320,LAME
386_deaf,deaf,996,DEAF
387_mute,mute,1666,MUTE
388_blind,blind,1653,BLIND
389_drunk,drunk,1463,DRUNK
390_naked,naked,590,NAKED
391_toeat,to eat,1336,EAT
392_thefood,the food,256,FOOD
393_cooked,cooked,269,COOKED
394_raw,raw,1959,RAW
395_ripe,ripe,178,RIPE
396_unripe,unripe,1958,UNRIPE
397_rotten,rotten,1728,ROTTEN
398_todrink,to drink,1401,DRINK
399_tobehungry,to be hungry,1533,BE HUNGRY
400_thefamine,the famine,199,FAMINE
401_tobethirsty,to be thirsty,3474,BE THIRSTY
402_tosuck,to suck,1421,SUCK
403_tochew,to chew,321,CHEW
404_toswallow,to swallow,897,SWALLOW
405_tochoke,to choke,129,CHOKE
406_tocook,to cook,1100,COOK (SOMETHING)
407_toboil,to boil,792,BOIL (OF LIQUID)
408_toroastorfry,to roast or fry,2146,ROAST OR FRY
409_tobake,to bake,183,BAKE
410_theoven,the oven,1143,OVEN
411_thepot,the pot,1462,POT
412_thekettle,the kettle,854,KETTLE
413_thepan,the pan,31,PAN
414_thedish,the dish,481,DISH
415_theplate,the plate,480,PLATE
416_thebowl,the bowl,1530,BOWL
417_thejugpitcher,the jug/pitcher,270,JUG
418_thecup,the cup,476,CUP
419_thesaucer,the saucer,271,SAUCER
420_thespoon,the spoon,1378,SPOON
421_theknife1,the knife(1),3210,KNIFE (FOR EATING)
422_thefork,the fork,1302,FORK
423_thetongs,the tongs,272,TONGS
424_themeal,the meal,1526,MEAL
425_thebreakfast,the breakfast,1322,BREAKFAST
426_thelunch,the lunch,768,LUNCH
427_thedinner,the dinner,1833,DINNER (SUPPER)
428_thesupper,the supper,1833,DINNER (SUPPER)
429_topeel,to peel,275,PEEL
430_tosieveortostrain,to sieve or to strain,3448,SIEVE OR STRAIN
431_toscrape,to scrape,1767,SCRAPE
432_tostirortomix,to stir or to mix,2017,MIX
433_thebread,the bread,1368,BREAD
434_thedough,the dough,273,DOUGH
435_toknead,to knead,274,KNEAD
436_theflour,the flour,1594,FLOUR
437_tocrushortogrind,to crush or to grind,1033,GRIND
438_themill,the mill,636,MILL
439_themortar1,the mortar(1),224,MORTAR
440_thepestle,the pestle,225,PESTLE
441_themeat,the meat,634,MEAT
442_thesausage,the sausage,1874,SAUSAGE
443_thesoup,the soup,1547,SOUP
444_thevegetables,the vegetables,924,VEGETABLES
445_thebean,the bean,832,BEAN
446_thepotato,the potato,593,POTATO
447_thefruit,the fruit,1507,FRUIT
448_thebunch,the bunch,1966,BUNCH
449_thefig,the fig,322,FIG
450_thegrape,the grape,920,GRAPE
451_thenut,the nut,191,NUT
452_theolive,the olive,1154,OLIVE
453_theoil,the oil,1484,OIL (ORGANIC SUBSTANCE)
454_thegreaseorfat,the grease or fat,323,FAT (ORGANIC SUBSTANCE)
455_thesalt,the salt,1274,SALT
456_thepepper,the pepper,1385,PEPPER
457_thechilipepper,the chili pepper,919,CHILI PEPPER
458_thehoney,the honey,942,HONEY
459_thesugar,the sugar,862,SUGAR
460_themilk,the milk,635,MILK
461_tomilk,to milk,93,DRAW MILK
462_thecheese,the cheese,1569,CHEESE
463_thebutter,the butter,1245,BUTTER
464_thedrink,the drink,731,BEVERAGE
465_themead,the mead,941,MEAD
466_thewine,the wine,1524,WINE
467_thebeer,the beer,1639,BEER
468_thefermenteddrink,the fermented drink,404,ALCOHOL (FERMENTED DRINK)
469_theegg,the egg,744,EGG
470_theyolk,the yolk,1556,YOLK
471_toputon,to put on,158,PUT ON
472_theclothingorclothes,the clothing or clothes,1895,CLOTHES
473_thetailor,the tailor,881,TAILOR
474_thecloth,the cloth,1616,CLOTH
475_thewool,the wool,964,WOOL
476_thelinen,the linen,916,LINEN
477_thecotton,the cotton,1850,COTTON
478_thesilk,the silk,1641,SILK
479_thefelt,the felt,325,FELT
480_thefur,the fur,580,FUR
481_theleather,the leather,629,LEATHER
482_tospin,to spin,121,SPIN
483_thespindle,the spindle,277,SPINDLE
484_toweave,to weave,133,WEAVE
485_theloom,the loom,1787,LOOM
486_tosew,to sew,1457,SEW
487_theneedle1,the needle(1),1382,NEEDLE (FOR SEWING)
488_theawl,the awl,278,AWL
489_thethread,the thread,1161,THREAD
490_todye,to dye,157,DYE
491_thecloak,the cloak,326,CLOAK
492_theponcho,the poncho,327,PONCHO
493_theladder,the ladder,1464,LADDER
494_thewomansdress,the (woman's) dress,474,DRESS
495_thecoat,the coat,603,COAT
496_theshirt,the shirt,1622,SHIRT
497_thecollar,the collar,2012,COLLAR
498_theskirt,the skirt,1600,SKIRT
499_thegrassskirt,the grass-skirt,328,GRASS-SKIRT
500_thetrousers,the trousers,809,TROUSERS
501_thesockorstocking,the sock or stocking,329,STOCKING
502_theshoe,the shoe,1381,SHOE
503_theboot,the boot,585,BOOT
504_theshoemaker,the shoemaker,875,SHOEMAKER
505_thehatorcap,the hat or cap,2130,HEADGEAR
506_thebelt,the belt,772,BELT
507_theglove,the glove,867,GLOVE
508_theveil,the veil,1151,VEIL
509_thepocket,the pocket,1851,POCKET
510_thebutton,the button,757,BUTTON
511_thepin,the pin,64,PIN
512_theornamentoradornment,the ornament or adornment,917,ORNAMENT
513_thejewel,the jewel,1029,JEWEL
514_thering,the ring,1374,RING
515_thebracelet,the bracelet,1754,BRACELET
516_thenecklace,the necklace,1961,NECKLACE
517_thebead,the bead,1860,BEAD
518_theearring,the earring,770,EARRING
519_theheadbandorheaddress,the headband or headdress,3457,HEADBAND OR HEADDRESS
520_thetattoo,the tattoo,68,TATTOO
521_thehandkerchieforrag,the handkerchief or rag,332,RAG
522_thetowel,the towel,1021,TOWEL
523_thecomb,the comb,1475,COMB
524_thebrush,the brush,1821,BRUSH
525_theplaitbraid,the plait/braid,1043,BRAID
526_therazor,the razor,151,RAZOR
527_theointment,the ointment,1926,OINTMENT
528_thesoap,the soap,788,SOAP
529_themirror,the mirror,1171,MIRROR
530_tolive,to live,363,"DWELL (LIVE, RESIDE)"
531_thehouse,the house,1252,HOUSE
532_thehut,the hut,1678,HUT
533_thegardenhouse,the garden-house,403,GARDEN-HOUSE
534_thetent,the tent,1316,TENT
535_theyardorcourt,the yard or court,736,YARD
536_themenshouse,the men's house,408,MEN'S HOUSE
537_thecookhouse,the cookhouse,334,COOKHOUSE
538_themeetinghouse,the meeting house,335,MEETING HOUSE
539_theroom,the room,1450,ROOM
540_thedoororgate,the door or gate,1567,DOOR
541_thedoorpost,the doorpost,80,DOORPOST
542_thelock,the lock,1596,LOCK
543_thelatchordoorbolt,the latch or door-bolt,1012,LATCH
544_thekey,the key,1472,KEY
545_thewindow,the window,1375,WINDOW
546_thefloor,the floor,1632,FLOOR
547_thewall,the wall,933,WALL (OF HOUSE)
548_thefireplace,the fireplace,185,FIREPLACE
549_thestove,the stove,859,STOVE
550_thechimney,the chimney,1305,CHIMNEY
551_thebed,the bed,1663,BED
552_thepillow,the pillow,1044,PILLOW
553_theblanket,the blanket,806,BLANKET
554_thechair,the chair,1476,CHAIR
555_thetable,the table,1775,TABLE
556_thelamportorch,the lamp or torch,2131,TORCH OR LAMP
557_thecandle,the candle,1273,CANDLE
558_theshelf,the shelf,745,SHELF
559_thetrough,the trough,205,TROUGH
560_theroof,the roof,769,ROOF
561_thethatch,the thatch,279,THATCH
562_theridgepole,the ridgepole,280,RIDGEPOLE
563_therafter,the rafter,829,RAFTER
564_thebeam,the beam,1132,BEAM
565_thepostorpole,the post or pole,281,POST
566_theboard,the board,1227,BOARD
567_thearch,the arch,876,ARCH
568_themason,the mason,877,MASON
569_thebrick,the brick,1006,BRICK
570_themortar2,the mortar(2),1731,MORTAR BINDER
571_theadobe,the adobe,901,ADOBE
